nflfastr_id,name,plays,qb_epa_per,qb_epa_adj_per,qb_epa,receiver_adj,yac_adj,drop_adj,int_adj,blocking_adj,weather_adj,fumble_adj,sos_adj,play_action_adj,dpi_adj,total_adj,qb_epa_adj
00-0019596,T.Brady,859,0.2093,0.2522,179.8,22.7,-5.4,12.9,5.2,-17.5,2.7,5.1,9.2,6.5,0.7,36.9,216.7
00-0026498,M.Stafford,801,0.2045,0.1822,163.8,4.3,-5.5,1.3,-1.2,-15.6,-4.9,1,-2.8,2.4,1.9,-17.9,145.9
00-0034857,J.Allen,852,0.2157,0.1755,183.8,-31.5,5.2,-5.1,3,-1.3,10.9,-0.6,-11.2,-2.1,1.4,-34.3,149.5
00-0036355,J.Herbert,757,0.2037,0.1684,154.2,-6.9,-11.6,9.8,10.4,-3.9,-12.6,0.5,-1,-0.8,-0.2,-26.7,127.5
00-0033873,P.Mahomes,870,0.2379,0.157,207,-48.1,-28.8,5.3,3.8,-2.9,-8,-3.9,13,0.3,2.7,-70.4,136.6
00-0023459,A.Rodgers,614,0.2408,0.1504,147.9,-12.5,-10,-25.3,10.2,-9,7.6,-3.9,-2.3,1.2,-1.3,-55.5,92.4
00-0036389,J.Hurts,629,0.1069,0.1167,67.2,3.4,4.6,8.5,-5.4,-10.9,-3.3,-1.6,6,-2,1.5,6.2,73.4
00-0036212,T.Tagovailoa,432,0.0668,0.1156,28.8,23,1.4,-5.1,0.8,10.7,4.8,-4.8,-5.3,-4.6,1,21.1,49.9
00-0033119,J.Brissett,260,-0.0256,0.1117,-6.7,13.2,8.5,10.1,-0.1,6.5,-2.4,-2.1,1.9,0.8,-0.8,35.7,29.0
00-0036442,J.Burrow,765,0.1524,0.1108,116.6,-16.8,-22.5,0.9,2.2,12.8,-1.8,1.8,-12,4.2,1.6,-31.8,84.8
00-0031345,J.Garoppolo,563,0.1715,0.1106,96.6,-10.8,-17.7,-0.6,-8,-8.5,0.5,1.3,1.5,-0.9,0.9,-34.3,62.3
00-0034401,M.White,137,0.0555,0.1051,7.6,5.3,-2.7,-1.5,-5.5,0.7,-0.1,0.1,4,0.6,0.4,6.8,14.4
00-0031237,T.Bridgewater,475,0.1474,0.0942,70,-14.9,-7,-7.6,-2.4,-0.4,8,2.3,-6.3,0.7,-0.1,-25.3,44.7
00-0029701,R.Tannehill,648,0.1109,0.0933,71.9,-6.7,0.6,2.3,-6.7,7.1,0.9,-1.7,-10.3,-2.7,-0.9,-11.4,60.5
00-0029604,K.Cousins,603,0.1432,0.0918,86.4,-17.2,2.8,-14.1,3.3,8,-6.2,-3.7,0,-0.5,-0.1,-31,55.4
00-0026143,M.Ryan,626,0.0321,0.0915,20.1,12.9,17.8,-1.3,0.5,13.8,-0.3,-7.6,3.2,-0.6,-0.7,37.2,57.3
00-0032950,C.Wentz,599,0.0748,0.0897,44.8,8.5,-0.4,0.7,-7.2,9.3,-3,6.5,-6.7,-3.8,-2.2,8.9,53.7
00-0033077,D.Prescott,716,0.1321,0.0886,94.6,-12.9,-2.3,-6.9,0.3,-11,-1.1,-0.5,2.6,0.9,0,-31.2,63.4
00-0035710,D.Jones,438,-0.0046,0.0847,-2,20.8,7.1,-1,-0.1,8.4,-0.6,3.1,3.7,-0.8,-1.6,39.1,37.1
00-0031280,D.Carr,745,0.0902,0.0844,67.2,5,-1.4,-9.8,12.2,1.2,-5.5,3.1,2.9,4.4,-4.2,-4.3,62.9
00-0036972,M.Jones,629,0.1018,0.0841,64,-12.6,7.8,-1.4,-2.4,-8.7,1.6,1.9,1,0.6,-1.3,-11.1,52.9
00-0035228,K.Murray,628,0.103,0.0688,64.7,1.3,1.9,-4.4,8.7,1.1,-7.3,-14.2,1.1,-1.4,0.4,-21.5,43.2
00-0034855,B.Mayfield,487,0.0227,0.056,11.1,20.2,-2.8,3.2,-1.9,-1.5,-0.3,3.5,-4.8,0.7,-2,16.2,27.3
00-0029263,R.Wilson,471,0.07,0.0426,33,-18.1,3.2,-7.3,5.7,9.5,4.9,-1.5,-1.6,-1.3,-0.7,-12.9,20.1
00-0034796,L.Jackson,540,0.0854,0.0353,46.1,-21.5,-0.8,-3.8,0.8,0.6,1.5,1.2,-3.2,-2.9,1.8,-27.1,19.0
00-0035993,T.Huntley,243,0.0084,0.031,2,-10,9.3,-6.6,4,0.3,5.3,3.6,1.8,1.3,0.5,5.5,7.5
00-0036971,T.Lawrence,693,-0.0677,0.0227,-46.9,32.5,14.1,22.7,-7.1,-2.7,1.9,-0.9,-5.3,-0.9,1.3,62.7,15.8
00-0031800,T.Heinicke,580,-0.0264,0.0132,-15.3,24.7,1.9,-5.3,-12.5,-8.7,1.1,1.1,10.4,-3.1,0.9,23,7.7
00-0033106,J.Goff,535,-0.0684,-0.0176,-36.6,5.7,1.1,15.1,2.8,-2.1,-0.8,5.3,1.8,0.8,0.3,27.2,-9.4
00-0036898,D.Mills,435,-0.0761,-0.0269,-33.1,19.8,8.8,-11.3,-4.9,3.8,-1,-1,2.6,0.5,-0.8,21.4,-11.7
00-0022924,B.Roethlisberger,692,-0.0385,-0.0421,-26.6,-21.7,14.1,3.1,-10.5,-4.6,3.1,3.1,0.1,2.6,-2.3,-2.5,-29.1
