season,week,game_id,team,score,adj_score,game_drives,plays,success_rate,total_epa,exp_epa,adj_epa,pass_rate,pass_over_exp,epa_turnover,penalty_epa,special_epa,fumble_lost,conversion_third,epa_third,conversion_fourth,epa_fourth
2025,2,2025_02_BUF_NYJ,NYJ,10,11.2,21,26,0.308,-11.9,1.2,-7.3,66,-9.8,-5.2,1.5,3.8,3-1,0-11,-12.5,3-3,9.6
2025,2,2025_02_CAR_ARI,ARI,27,17.9,18,46,0.413,4.7,7.2,4.4,63,-0.8,-4.9,-1.3,1.7,NA,3-9,-4.5,1-1,2.3
2025,2,2025_02_CAR_ARI,CAR,22,17.7,18,73,0.411,-7.2,12.5,4.2,79,2.3,-10.9,1.5,-2.2,1-1,5-15,-10.9,3-4,9.3
2025,2,2025_02_CHI_DET,CHI,21,16.1,25,50,0.32,-13.2,12.6,-2,64.7,-1,-8.5,-2.4,2.4,2-1,7-13,6.2,0-2,-6.4
2025,2,2025_02_CHI_DET,DET,52,33.2,25,49,0.551,17.2,15.1,15.8,50.8,-7.9,NA,0,-0.3,NA,4-10,1.4,1-1,4
2025,2,2025_02_CLE_BAL,BAL,41,18.8,24,52,0.385,4.8,6.5,-1.9,67.9,10.4,NA,-0.3,2.6,1-0,3-11,-3.6,1-1,3.8
2025,2,2025_02_CLE_BAL,CLE,17,12.7,24,58,0.276,-14.7,14,-3.1,71.2,-0.3,-15.6,-1.2,-1.3,1-1,7-18,-9.3,1-3,-6.9
2025,2,2025_02_DEN_IND,DEN,28,23.7,19,60,0.483,12.5,14.3,9.6,61,4.8,-3.9,3.7,-1,NA,4-9,-0.2,NA,NA
2025,2,2025_02_DEN_IND,IND,29,25,19,73,0.479,13.5,20.7,14.9,56.3,-4.4,NA,2.6,2.9,NA,6-13,-0.5,0-2,-6.4
2025,2,2025_02_JAX_CIN,CIN,31,23,23,69,0.435,6.8,21.3,6,73.9,5.2,-12.1,1.7,5.6,NA,6-14,1.4,1-1,2.3
2025,2,2025_02_JAX_CIN,JAX,27,27.8,23,72,0.486,6.6,17.7,13.8,63.4,5.8,-8.5,-0.7,0.2,1-0,6-13,-3.2,0-1,-2.8
2025,2,2025_02_LAC_LV,LAC,20,20.3,21,50,0.42,2.7,12.9,4.3,58.9,13,-5.2,0.8,1.3,2-1,4-11,-3.3,1-2,0.2
2025,2,2025_02_LAC_LV,LV,9,11.5,21,70,0.329,-20.5,11.6,-9.9,75.7,5.7,-10.9,1.3,3.2,1-0,9-18,-2.2,0-2,-6.4
2025,2,2025_02_LA_TEN,LA,33,26.6,22,54,0.463,16.7,13.7,16.1,61,9.5,-2.2,1.2,-0.8,1-0,5-11,3.7,1-1,6.2
2025,2,2025_02_LA_TEN,TEN,19,14.3,22,59,0.339,-4.2,5.1,-4.3,65.2,-6.1,-5.2,-1.3,5.9,1-1,6-15,1.9,1-1,2.2
2025,2,2025_02_NE_MIA,MIA,27,19.9,18,62,0.435,5.7,9.7,7.5,73.7,0.5,-2.9,-4.9,1.7,NA,4-10,2.4,0-2,-4.5
2025,2,2025_02_NE_MIA,NE,33,21.5,18,62,0.452,14.5,5.9,10,57.1,-1.4,NA,-4.7,1,1-0,7-12,11,1-1,3.6
2025,2,2025_02_NYG_DAL,DAL,40,26.4,26,93,0.452,15.6,19.1,7.7,69.7,-2.2,-3.9,8.3,3,1-0,6-14,1.6,1-1,2.7
2025,2,2025_02_NYG_DAL,NYG,37,25.6,26,71,0.437,16.4,20,7.7,68.7,7,-2.3,2.8,2.4,1-0,6-14,3.4,1-2,1.9
2025,2,2025_02_PHI_KC,KC,17,17.1,19,61,0.393,-2.7,12.7,2.8,68.3,4.3,-7.1,0.9,4.2,1-0,4-12,-7.8,2-3,1.3
2025,2,2025_02_PHI_KC,PHI,20,17.9,19,62,0.419,4.6,7.6,0.7,44.8,-11.6,NA,2.2,4.1,1-0,5-14,-1,1-1,2.8
