gid,season,week,gameday,game_type,team,opp,pts,pts_allowed,is_home,plays,pr_all,proe,proe_fastr,expl_off,expl20_off,expl_off_n,epa_off,succ_off,spp_neut,spp_neut_n,spp_neut_run,spp_neut_run_n,plays_neut,pr_neut,nh_neut,proe_neut,pr_wp,def_plays,expl_def,expl20_def,epa_def,succ_def,pts_off,drives,ppd
2009_01_JAX_IND,2009,1,2009-09-13,REG,JAX,IND,12.0,14.0,0,56,0.5178571428571429,-10.75346236087187,,0.03571428571428571,0.03571428571428571,2,-0.08332010346569907,0.39285714285714285,31.733333333333334,30,37.3125,16,37.0,0.5675675675675675,0.0,-2.937957560311162,0.5526315789473685,67,0.07462686567164178,0.04477611940298507,0.04639294740671803,0.40298507462686567,12.0,10,1.2
2009_01_JAX_IND,2009,1,2009-09-13,REG,IND,JAX,14.0,12.0,1,67,0.582089552238806,3.6961682157005167,,0.07462686567164178,0.04477611940298507,5,0.04639294740671803,0.40298507462686567,31.72093023255814,43,35.11764705882353,17,49.0,0.6122448979591837,0.04081632653061224,5.088418880587392,0.6041666666666666,56,0.03571428571428571,0.03571428571428571,-0.08332010346569907,0.39285714285714285,14.0,10,1.4
2009_01_KC_BAL,2009,1,2009-09-13,REG,KC,BAL,24.0,38.0,0,44,0.6136363636363636,-8.614726524477058,,0.09090909090909091,0.06818181818181818,4,-0.19152557360976513,0.3181818181818182,34.666666666666664,9,35.42857142857143,7,14.0,0.5,0.07142857142857142,-10.516253146131076,0.42857142857142855,85,0.07058823529411765,0.047058823529411764,0.23168429173977204,0.5058823529411764,17.0,11,1.5454545454545454
2009_01_KC_BAL,2009,1,2009-09-13,REG,BAL,KC,38.0,24.0,1,85,0.5176470588235295,-0.23560498825790976,,0.07058823529411765,0.047058823529411764,6,0.23168429173977204,0.5058823529411764,31.215686274509803,51,36.6,25,57.0,0.5614035087719298,0.6842105263157895,0.37750769584768806,0.5714285714285714,44,0.09090909090909091,0.06818181818181818,-0.19152557360976513,0.3181818181818182,38.0,11,3.4545454545454546
2009_01_MIA_ATL,2009,1,2009-09-13,REG,MIA,ATL,7.0,19.0,0,55,0.6,-7.579526800586096,,0.07272727272727272,0.03636363636363636,4,-0.36629595330784553,0.4,39.64705882352941,17,42.0,9,21.0,0.5714285714285714,0.0,-3.0992711508199084,0.4827586206896552,62,0.06451612903225806,0.04838709677419355,0.00845971529232531,0.4032258064516129,7.0,11,0.6363636363636364
2009_01_MIA_ATL,2009,1,2009-09-13,REG,ATL,MIA,19.0,7.0,1,62,0.6129032258064516,10.100946629278068,,0.06451612903225806,0.04838709677419355,4,0.00845971529232531,0.4032258064516129,28.875,24,31.5,12,31.0,0.5806451612903226,0.0,1.635378865045315,0.5806451612903226,55,0.07272727272727272,0.03636363636363636,-0.36629595330784553,0.4,19.0,11,1.7272727272727273
2009_01_MIN_CLE,2009,1,2009-09-13,REG,MIN,CLE,34.0,20.0,0,62,0.41935483870967744,-6.299120007829145,,0.12903225806451613,0.03225806451612903,8,0.1269705888333071,0.5,36.55263157894737,38,39.2,25,45.0,0.37777777777777777,0.0,-9.531137416476259,0.425531914893617,60,0.08333333333333333,0.016666666666666666,-0.24027737522077833,0.36666666666666664,34.0,13,2.6153846153846154
2009_01_MIN_CLE,2009,1,2009-09-13,REG,CLE,MIN,20.0,34.0,1,60,0.6666666666666666,-3.853938874351624,,0.08333333333333333,0.016666666666666666,5,-0.24027737522077833,0.36666666666666664,33.86363636363637,22,38.0,14,28.0,0.39285714285714285,0.0,-17.900453496857942,0.45161290322580644,62,0.12903225806451613,0.03225806451612903,0.1269705888333071,0.5,13.0,12,1.0833333333333333
2009_01_NYJ_HOU,2009,1,2009-09-13,REG,NYJ,HOU,24.0,7.0,0,70,0.42857142857142855,-10.345192752234732,,0.17142857142857143,0.11428571428571428,12,0.22709829148801478,0.35714285714285715,28.095238095238095,21,33.333333333333336,9,31.0,0.5483870967741935,0.0,-8.99642422623895,0.5454545454545454,48,0.041666666666666664,0.020833333333333332,-0.3616269622544294,0.3541666666666667,24.0,11,2.1818181818181817
2009_01_NYJ_HOU,2009,1,2009-09-13,REG,HOU,NYJ,7.0,24.0,1,48,0.7291666666666666,7.154723151720808,,0.041666666666666664,0.020833333333333332,2,-0.3616269622544294,0.3541666666666667,35.4,15,41.55555555555556,9,22.0,0.5454545454545454,0.0,-3.177732334549577,0.5454545454545454,70,0.17142857142857143,0.11428571428571428,0.22709829148801478,0.35714285714285715,0.0,9,0.0
2009_01_PHI_CAR,2009,1,2009-09-13,REG,PHI,CAR,38.0,10.0,0,62,0.5,0.7338982184756943,,0.11290322580645161,0.016129032258064516,7,-0.14892428988883794,0.4032258064516129,29.166666666666668,6,39.666666666666664,3,10.0,0.6,0.0,0.8250497888868885,0.5555555555555556,68,0.058823529411764705,0.014705882352941176,-0.7037704798686267,0.27941176470588236,24.0,13,1.8461538461538463
2009_01_PHI_CAR,2009,1,2009-09-13,REG,CAR,PHI,10.0,38.0,1,68,0.5735294117647058,-12.23116993531663,,0.058823529411764705,0.014705882352941176,4,-0.7037704798686267,0.27941176470588236,32.388888888888886,18,38.916666666666664,12,27.0,0.37037037037037035,0.0,-17.423871685942643,0.37037037037037035,62,0.11290322580645161,0.016129032258064516,-0.14892428988883794,0.4032258064516129,10.0,15,0.6666666666666666
2009_01_SF_ARI,2009,1,2009-09-13,REG,SF,ARI,20.0,16.0,0,60,0.5833333333333334,-1.8405272511557167,,0.016666666666666666,0.016666666666666666,1,-0.1862689205795065,0.3,34.074074074074076,27,41.07142857142857,14,36.0,0.5555555555555556,0.0,-6.605692551962869,0.5555555555555556,61,0.06557377049180328,0.04918032786885246,-0.21310379156944687,0.3442622950819672,20.0,13,1.5384615384615385
