line,n,fav_win,push,dog_win,fav_ev_110,dog_ev_110
1.0,387,0.4728682170542636,0.015503875968992248,0.5116279069767442,-0.08174770965468647,-0.007751937984496117
1.5,134,0.5074626865671642,0.0,0.4925373134328358,-0.031207598371777442,-0.05970149253731354
2.0,102,0.4803921568627451,0.029411764705882353,0.49019607843137253,-0.05347593582887696,-0.03475935828877008
2.5,399,0.48621553884711777,0.0,0.5137844611528822,-0.07177033492822978,-0.0191387559808612
3.0,665,0.4270676691729323,0.0887218045112782,0.4842105263157895,-0.09596719070403284,0.013123718386876284
3.5,460,0.5195652173913043,0.0,0.48043478260869565,-0.008102766798419037,-0.08280632411067194
4.0,211,0.4881516587677725,0.014218009478672985,0.4976303317535545,-0.05385609651012499,-0.03576044808272303
4.5,167,0.47904191616766467,0.0,0.5209580838323353,-0.08546543277082203,-0.005443658138268959
5.0,102,0.5490196078431373,0.00980392156862745,0.4411764705882353,0.05793226381461675,-0.14795008912655977
5.5,187,0.44919786096256686,0.0,0.5508021390374331,-0.1424404472532815,0.051531356344190475
6.0,213,0.460093896713615,0.04225352112676056,0.49765258215962443,-0.0793854033290654,-0.007682458386683778
6.5,210,0.4857142857142857,0.0,0.5142857142857142,-0.07272727272727274,-0.0181818181818183
7.0,294,0.46598639455782315,0.061224489795918366,0.47278911564625853,-0.049165120593692054,-0.03617810760667911
7.5,220,0.4681818181818182,0.0,0.5318181818181819,-0.10619834710743806,0.01528925619834713
8.0,55,0.5636363636363636,0.0,0.43636363636363634,0.0760330578512396,-0.1669421487603306
8.5,57,0.42105263157894735,0.0,0.5789473684210527,-0.19617224880382783,0.10526315789473686
9.0,71,0.4507042253521127,0.0,0.5492957746478874,-0.13956466069142132,0.04865556978233033
9.5,98,0.4387755102040816,0.0,0.5612244897959183,-0.1623376623376623,0.07142857142857137
10.0,139,0.38848920863309355,0.07913669064748201,0.5323741007194245,-0.17920209287115765,0.09548724656638322
10.5,95,0.5263157894736842,0.0,0.47368421052631576,0.004784688995215225,-0.09569377990430626
11.0,49,0.5306122448979592,0.02040816326530612,0.4489795918367347,0.0333951762523191,-0.12244897959183683
12.5,31,0.6451612903225806,0.0,0.3548387096774194,0.23167155425219932,-0.3225806451612903
13.0,46,0.6739130434782609,0.0,0.32608695652173914,0.28656126482213434,-0.3774703557312253
13.5,45,0.37777777777777777,0.0,0.6222222222222222,-0.27878787878787886,0.18787878787878787
14.0,70,0.42857142857142855,0.04285714285714286,0.5285714285714286,-0.13896103896103906,0.05194805194805196
