T,latent,pool_n,ev_A,bets_A,ev_B,bets_B,ev_C,bets_C,ev_E(prob-space),bets_E,ev_D(ceiling),bets_D
0.5,2.25,501,0.04841986954580388,0.7769156159068866,0.04841986954580388,0.7769156159068866,0.04841986954580388,0.7769156159068866,0.05449958912965003,0.5615906886517944,0.0534330334129378,0.46362754607177503
0.5,2.75,1064,0.06637604062179076,0.8409311348205626,0.07557746760870959,0.8874878758486906,0.06637604062179076,0.8409311348205626,0.0720064368221497,0.6867119301648885,0.07546327020266473,0.7846750727449079
0.5,3.25,1125,0.06362574336968126,0.8409311348205626,0.06362574336968126,0.8409311348205626,0.06991262773222032,0.8874878758486906,0.0500593911961516,0.6314258001939864,0.06991262773222032,0.8874878758486906
0.5,3.75,671,0.05592372793489873,0.8409311348205626,0.05592372793489873,0.8409311348205626,0.05592372793489873,0.8409311348205626,0.060006746553889406,0.5994180407371484,0.060006746553889406,0.5994180407371484
0.5,6.25,423,0.05134949386553897,0.8409311348205626,0.05134949386553897,0.8409311348205626,0.05134949386553897,0.8409311348205626,0.048644606912762144,0.5994180407371484,0.05552272419804455,0.6256062075654705
0.5,6.75,504,0.04964866203954465,0.8409311348205626,0.051541639199253135,0.8874878758486906,0.04964866203954465,0.8409311348205626,0.05025819368690366,0.6256062075654705,0.05263193805870816,0.7284190106692532
0.5,7.25,514,0.04308563982410155,0.8409311348205626,0.04308563982410155,0.8409311348205626,0.05023713073017322,0.8874878758486906,0.030325217171126254,0.42192046556741025,0.047423744363363225,0.7284190106692532
0.5,7.75,275,0.02760859632387713,0.8409311348205626,0.02760859632387713,0.8409311348205626,0.02760859632387713,0.8409311348205626,0.03135173265144166,0.4161008729388943,0.03302835247813643,0.4966052376333657
1.0,2.25,501,0.04477633217824996,0.5354025218234724,0.04477633217824996,0.5354025218234724,0.04477633217824996,0.5354025218234724,0.05449958912965003,0.5615906886517944,0.0534330334129378,0.46362754607177503
1.0,2.75,1064,0.056207416301091294,0.5994180407371484,0.07036665157294078,0.6256062075654705,0.056207416301091294,0.5994180407371484,0.0720064368221497,0.6867119301648885,0.07546327020266473,0.7846750727449079
1.0,3.25,1125,0.059569271767137895,0.5994180407371484,0.059569271767137895,0.5994180407371484,0.06094739832858163,0.6256062075654705,0.0500593911961516,0.6314258001939864,0.06991262773222032,0.8874878758486906
1.0,3.75,671,0.060006746553889406,0.5994180407371484,0.060006746553889406,0.5994180407371484,0.060006746553889406,0.5994180407371484,0.060006746553889406,0.5994180407371484,0.060006746553889406,0.5994180407371484
1.0,6.25,423,0.048644606912762144,0.5994180407371484,0.048644606912762144,0.5994180407371484,0.048644606912762144,0.5994180407371484,0.048644606912762144,0.5994180407371484,0.05552272419804455,0.6256062075654705
1.0,6.75,504,0.04676825760724885,0.5994180407371484,0.05025819368690366,0.6256062075654705,0.04676825760724885,0.5994180407371484,0.05025819368690366,0.6256062075654705,0.05263193805870816,0.7284190106692532
1.0,7.25,514,0.042130460842979736,0.5994180407371484,0.042130460842979736,0.5994180407371484,0.04484160463206908,0.6256062075654705,0.030325217171126254,0.42192046556741025,0.047423744363363225,0.7284190106692532
1.0,7.75,275,0.03370810654824408,0.5994180407371484,0.03370810654824408,0.5994180407371484,0.03370810654824408,0.5994180407371484,0.03135173265144166,0.4161008729388943,0.03302835247813643,0.4966052376333657
1.5,2.25,501,0.03490065983895008,0.35208535402521823,0.03490065983895008,0.35208535402521823,0.03490065983895008,0.35208535402521823,0.05449958912965003,0.5615906886517944,0.0534330334129378,0.46362754607177503
1.5,2.75,1064,0.04491587844489982,0.4161008729388943,0.0526363855145314,0.39864209505334625,0.04491587844489982,0.4161008729388943,0.0720064368221497,0.6867119301648885,0.07546327020266473,0.7846750727449079
1.5,3.25,1125,0.04738104615505196,0.4161008729388943,0.04738104615505196,0.4161008729388943,0.045890289901929074,0.39864209505334625,0.0500593911961516,0.6314258001939864,0.06991262773222032,0.8874878758486906
1.5,3.75,671,0.05123583226968446,0.4161008729388943,0.05123583226968446,0.4161008729388943,0.05123583226968446,0.4161008729388943,0.060006746553889406,0.5994180407371484,0.060006746553889406,0.5994180407371484
1.5,6.25,423,0.03946933686702964,0.4161008729388943,0.03946933686702964,0.4161008729388943,0.03946933686702964,0.4161008729388943,0.048644606912762144,0.5994180407371484,0.05552272419804455,0.6256062075654705
1.5,6.75,504,0.03865872246085629,0.4161008729388943,0.03771520805953395,0.39864209505334625,0.03865872246085629,0.4161008729388943,0.05025819368690366,0.6256062075654705,0.05263193805870816,0.7284190106692532
1.5,7.25,514,0.03453637622798309,0.4161008729388943,0.03453637622798309,0.4161008729388943,0.033276184993191245,0.39864209505334625,0.030325217171126254,0.42192046556741025,0.047423744363363225,0.7284190106692532
1.5,7.75,275,0.03135173265144166,0.4161008729388943,0.03135173265144166,0.4161008729388943,0.03135173265144166,0.4161008729388943,0.03135173265144166,0.4161008729388943,0.03302835247813643,0.4966052376333657
