away,home,home_spread
NE,SEA,-3.5
SF,LA,-2.0
CHI,CAR,1.5
BAL,IND,1.5
ATL,PIT,-3.0
CLE,JAX,-6.0
TB,CIN,-3.5
NYJ,TEN,-3.0
NO,DET,-7.0
BUF,HOU,1.5
ARI,LAC,-9.0
GB,MIN,-1.0
MIA,LV,-3.5
WAS,PHI,-3.5
DAL,NYG,1.0
DEN,KC,-1.0
